,PC1,PC2,labels,center
0,-1.223578731260848,-0.5770420111405872,center9,center7
1,1.2556776925808175,1.1259781314180557,center4,center0
2,-0.9572059026159865,0.48945502273448427,center3,center7
3,2.489380556531137,-0.15708549339834474,center1,center2
4,0.10812627048331547,0.7237619632210796,center5,center0
5,2.488541660679961,-0.0652328592341679,center1,center2
6,0.469417580793016,-0.9457048773950772,center6,center5
7,0.6040602069801292,0.9364298435641643,center4,center0
8,0.3204311809480383,1.4740416607405835,center4,center0
9,-1.0922218952242455,-0.7462111424968427,center8,center6
10,-0.4558494134617636,-1.4224897531951308,center6,center5
11,-0.10573471537003774,-1.3990558794599839,center6,center5
12,-0.5026608117107247,-0.1919447057773474,center9,center6
13,0.30956600117053423,0.34295422121902,center0,center6
14,-1.178543833606343,0.7441293366655846,center3,center7
15,0.6848741471092014,1.6800348479914857,center4,center0
16,-1.3960245518775565,-1.6493820409879862,center2,center8
17,0.9821274362029141,-0.8649720416166918,center6,center5
18,0.43730160716253813,0.550737012081887,center0,center0
19,1.6236638845497535,0.5542205642798694,center4,center9
20,0.36525296450491224,1.2358058091281559,center5,center0
21,-0.6975396105249877,-0.028982598416071814,center9,center6
22,-0.21385505250306136,-1.1523351991659272,center2,center5
23,0.49333418488150715,1.1960003441037805,center0,center0
24,-1.6816035675281282,0.4553360091557328,center8,center7
25,-0.3861963586031864,-0.7942645736102929,center9,center6
26,0.2812726072867367,0.42359992876938635,center0,center0
27,2.2240136696325057,-0.1965791748031449,center1,center9
28,1.1300374794672559,0.6157552471749098,center4,center0
29,-1.2299765256000814,0.6416778695166074,center3,center7
30,-0.6344141070581363,0.721114151439844,center3,center6
31,0.367532187959668,0.675142515934199,center0,center0
32,-1.293144990447981,0.3834560040643146,center8,center7
33,0.30548904403740146,-0.775061919184685,center6,center5
34,0.005734231447205191,-0.37755403957926426,center6,center6
35,-0.2254442270417687,0.6614351260193221,center5,center6
36,0.06239829413345352,1.210840865134227,center5,center0
37,-1.6325871721781327,0.9842708064455872,center7,center7
38,0.8384396802403763,0.2774081578772103,center4,center0
39,-0.6463878414894836,-0.006943253977098525,center3,center6
40,-0.6606619109388657,-0.7428802357547771,center9,center6
41,0.9896901886766495,1.584238761405654,center4,center0
42,2.7715955695871846,-0.5126198222281165,center1,center2
43,-1.4194514230027127,-1.0254523335620336,center9,center8
44,0.7623959953969542,0.9624523591321253,center4,center0
45,0.17874511033948387,-0.8820968211519442,center6,center5
46,-0.12770214421084172,0.6677791764804061,center3,center0
47,-0.9637373071272615,-0.3896767975805554,center9,center6
48,2.39243094912829,-0.29910500071990337,center1,center9
49,2.1528532565113605,-0.2148600330804471,center1,center9
50,3.029996388100263,0.10884806403745839,center1,center2
51,-1.366663489964156,-0.37057896044928407,center8,center7
52,0.23301705262148326,1.3549142031854449,center5,center0
53,-0.35009108317351456,0.45622631191299323,center3,center6
54,-0.3019800519245991,-1.1337484493651464,center6,center5
55,1.5605484150759923,0.9561266857446851,center4,center0
56,0.8036870547418283,0.9648699190284347,center4,center0
57,-0.09814396881972758,-1.782049494446377,center6,center5
58,1.1372095112441614,0.813605676442487,center4,center0
59,-0.1018928147658954,-1.0419997358225788,center6,center5
60,0.28537768332098984,-1.0544961839733944,center2,center5
61,0.5024882781262817,0.5869662988309943,center0,center0
62,-1.2462011828267932,0.8811134537620906,center3,center7
63,0.3112167032950763,0.6488511464797265,center5,center0
64,0.050802475723591166,0.6610967645518533,center0,center0
65,-0.9690694059666127,0.626295703698327,center3,center7
66,-0.6090850197634667,0.3866202306372441,center7,center6
67,-0.9602914262646522,-0.06368923558249093,center3,center6
68,0.8119121229137295,1.7564590887741576,center4,center0
69,0.39849680442288926,1.4392527962949204,center4,center0
70,0.4222011247155658,-1.3913237750582308,center6,center5
71,0.24125120055563176,-1.5681940830045313,center2,center5
72,-0.6805724632039268,-0.3416417833391173,center8,center6
73,-0.04817072257552245,1.059306684301113,center5,center0
74,-0.4208967871522053,-0.3181548621004516,center9,center6
75,0.47017047628306813,1.0648018427068888,center4,center0
76,-0.017155058572378274,-1.1360725687958182,center6,center5
77,-1.1882936910477497,-0.5814867097794211,center8,center6
78,-1.9012316177840798,0.32513583099560733,center8,center7
79,-0.4810205358963214,0.26890112072763506,center3,center6
80,0.3628630487067745,0.47388946394274506,center5,center0
81,0.7185399578978837,0.5738222104796254,center0,center0
82,-0.6084811323489411,0.15466180110732394,center3,center6
83,2.950861680249862,-0.7897556286400257,center1,center2
84,2.427030064778547,-0.7052765001827294,center1,center9
85,-1.1869395319216423,0.08411351271437952,center8,center7
86,-0.02351900708966499,-1.605146642468667,center2,center5
87,1.8140609805010093,-0.23154958957068558,center1,center9
88,1.2111956788527398,1.4947717895764367,center4,center0
89,0.46592757382691685,1.3562518429988075,center4,center0
90,0.05199249585822619,0.01381613694485829,center0,center6
91,0.7094854431524142,-1.20767334540793,center6,center5
92,-1.674679352426959,0.5638942945983917,center7,center7
93,0.8689101020822964,0.8517485320807666,center4,center0
94,0.2024979212640013,-1.4609068970700436,center2,center5
95,0.7112992488098336,-1.392686555508297,center6,center5
96,-0.009734903435477936,1.148361283368758,center5,center0
97,-0.4883813305340114,-0.2926437315534897,center8,center6
98,0.8697918865102945,1.271128985640471,center5,center0
99,3.431346849180549,-0.4691001275629703,center1,center2
100,-0.963746015327236,-1.206078566657172,center2,center8
101,-0.9667633485846977,-0.7830713597779243,center9,center6
102,0.24515368837985438,-1.8926266707631847,center2,center5
103,-0.15429979022918988,-1.0332644835292872,center2,center5
104,-0.12766652611829538,-1.717390821938288,center2,center5
105,-1.530683144901241,-0.3635145883665881,center8,center7
106,-0.7230523461125223,-0.8689119024361843,center6,center6
107,2.9373290733829185,-1.2831526655973995,center1,center4
108,0.37142081095538937,0.2534465512050253,center0,center6
