,PC1,PC2,center
0,151700.0,351102.0,center3
1,155799.0,354358.0,center3
2,142857.0,352716.0,center3
3,152726.0,349144.0,center3
4,151008.0,349692.0,center3
5,145865.0,351895.0,center3
6,148629.0,350242.0,center3
7,151083.0,353684.0,center3
8,161316.0,348971.0,center3
9,158758.0,352360.0,center3
10,145731.0,350480.0,center3
11,159597.0,355339.0,center3
12,152294.0,345996.0,center3
13,149801.0,349982.0,center3
14,152260.0,350394.0,center3
15,149352.0,342567.0,center3
16,149607.0,353888.0,center3
17,154711.0,359310.0,center3
18,154456.0,349715.0,center3
19,154482.0,351351.0,center3
20,152123.0,348751.0,center3
21,146182.0,350827.0,center3
22,152268.0,349032.0,center3
23,155155.0,350195.0,center3
24,151546.0,355246.0,center3
25,153272.0,347661.0,center3
26,152299.0,348418.0,center3
27,149040.0,349665.0,center3
28,150929.0,349676.0,center3
29,147510.0,354280.0,center3
30,152809.0,356672.0,center3
31,146373.0,346559.0,center3
32,146620.0,347645.0,center3
33,147440.0,351382.0,center3
34,140689.0,347871.0,center3
35,154549.0,356725.0,center3
36,151028.0,355250.0,center3
37,147613.0,351520.0,center3
38,154333.0,352207.0,center3
39,144588.0,348394.0,center3
40,149677.0,352370.0,center3
41,149236.0,353471.0,center3
42,151009.0,350546.0,center3
43,150989.0,356166.0,center3
44,147265.0,351837.0,center3
45,149905.0,349644.0,center3
46,149479.0,351115.0,center3
47,151985.0,353649.0,center3
48,153457.0,349093.0,center3
49,153508.0,350082.0,center3
50,147269.0,357194.0,center3
51,150245.0,348533.0,center3
52,146161.0,352594.0,center3
53,146479.0,352222.0,center3
54,149978.0,354997.0,center3
55,154847.0,352140.0,center3
56,147566.0,342000.0,center3
57,151174.0,347435.0,center3
58,149287.0,351539.0,center3
59,153533.0,351164.0,center3
60,146556.0,355830.0,center3
61,150103.0,354435.0,center3
62,151747.0,351738.0,center3
63,153480.0,350609.0,center3
64,154883.0,345616.0,center3
65,150272.0,355889.0,center3
66,145283.0,349950.0,center3
67,147653.0,344901.0,center3
68,146643.0,351028.0,center3
69,157433.0,351067.0,center3
70,148053.0,348011.0,center3
71,152366.0,351788.0,center3
72,149392.0,347713.0,center3
73,152810.0,346040.0,center3
74,147581.0,344238.0,center3
75,145566.0,348412.0,center3
76,145502.0,347577.0,center3
77,151544.0,351539.0,center3
78,149439.0,345216.0,center3
79,149380.0,349283.0,center3
80,154488.0,345713.0,center3
81,150922.0,355786.0,center3
82,150626.0,349695.0,center3
83,155021.0,354360.0,center3
84,147456.0,351303.0,center3
85,152203.0,353079.0,center3
86,152641.0,346632.0,center3
87,149229.0,353880.0,center3
88,150682.0,354638.0,center3
89,146313.0,343097.0,center3
90,146370.0,349082.0,center3
91,150332.0,347981.0,center3
92,152284.0,350721.0,center3
93,158176.0,348142.0,center3
94,147891.0,350667.0,center3
95,150592.0,351938.0,center3
96,149739.0,350744.0,center3
97,143887.0,349016.0,center3
98,148612.0,345804.0,center3
99,144325.0,349614.0,center3
100,152658.0,348627.0,center3
101,147192.0,345695.0,center3
102,150317.0,349855.0,center3
103,148278.0,349168.0,center3
104,150960.0,350700.0,center3
105,148102.0,352932.0,center3
106,151549.0,351968.0,center3
107,152338.0,354342.0,center3
108,155413.0,348247.0,center3
109,149386.0,347218.0,center3
110,143238.0,349025.0,center3
111,147345.0,354087.0,center3
112,154284.0,354530.0,center3
113,146610.0,349265.0,center3
114,153039.0,348426.0,center3
115,150392.0,345255.0,center3
116,154543.0,352568.0,center3
117,143799.0,349452.0,center3
118,149375.0,346232.0,center3
119,146180.0,348565.0,center3
120,159196.0,345163.0,center3
121,152610.0,351614.0,center3
122,154361.0,349889.0,center3
123,146654.0,354798.0,center3
124,148518.0,345574.0,center3
125,149138.0,352967.0,center3
126,153474.0,350799.0,center3
127,149121.0,350172.0,center3
128,152218.0,352477.0,center3
129,143512.0,353106.0,center3
130,148881.0,346518.0,center3
131,147396.0,353889.0,center3
132,145013.0,345694.0,center3
133,151606.0,346781.0,center3
134,150892.0,347973.0,center3
135,150106.0,352328.0,center3
136,145783.0,346212.0,center3
137,153565.0,351410.0,center3
138,151107.0,351407.0,center3
139,149054.0,350390.0,center3
140,150072.0,351752.0,center3
141,149171.0,346227.0,center3
142,144465.0,352617.0,center3
143,149097.0,350267.0,center3
144,147371.0,352034.0,center3
145,146903.0,346596.0,center3
146,146343.0,349798.0,center3
147,148313.0,352593.0,center3
148,143667.0,352558.0,center3
149,153049.0,350040.0,center3
150,151645.0,344332.0,center3
151,149937.0,346543.0,center3
152,149890.0,350677.0,center3
153,147476.0,352247.0,center3
154,153221.0,351779.0,center3
155,149579.0,348030.0,center3
156,147740.0,356836.0,center3
157,154273.0,350655.0,center3
158,149289.0,352652.0,center3
159,148137.0,348506.0,center3
160,149071.0,346399.0,center3
161,147319.0,351888.0,center3
162,146458.0,352911.0,center3
163,157988.0,356532.0,center3
164,155235.0,348859.0,center3
165,150973.0,344975.0,center3
166,146025.0,354691.0,center3
167,147263.0,350557.0,center3
168,149442.0,346398.0,center3
169,152503.0,348491.0,center3
170,145788.0,347034.0,center3
171,142632.0,352916.0,center3
172,145418.0,351405.0,center3
173,151055.0,350869.0,center3
174,151238.0,350880.0,center3
175,151428.0,347558.0,center3
176,149588.0,353084.0,center3
177,150581.0,351148.0,center3
178,148494.0,349028.0,center3
179,152726.0,349691.0,center3
180,145694.0,349249.0,center3
181,151439.0,347353.0,center3
182,147316.0,352064.0,center3
183,148941.0,354275.0,center3
184,151748.0,357959.0,center3
185,153286.0,351914.0,center3
186,146466.0,347059.0,center3
187,153987.0,351031.0,center3
188,152088.0,347040.0,center3
189,149785.0,348049.0,center3
190,149383.0,347865.0,center3
191,149312.0,347309.0,center3
192,149041.0,351094.0,center3
193,150073.0,346498.0,center3
194,150162.0,352116.0,center3
195,152612.0,352764.0,center3
196,154829.0,353747.0,center3
197,151477.0,350083.0,center3
198,149337.0,351881.0,center3
199,151977.0,355871.0,center3
200,150579.0,350225.0,center3
201,146744.0,349115.0,center3
202,153002.0,355877.0,center3
203,150971.0,342203.0,center3
204,150427.0,348606.0,center3
205,151629.0,357810.0,center3
206,150827.0,348599.0,center3
207,147023.0,347939.0,center3
208,149487.0,346090.0,center3
209,149538.0,352449.0,center3
210,148318.0,343193.0,center3
211,155319.0,348017.0,center3
212,147231.0,351507.0,center3
213,148470.0,349842.0,center3
214,147748.0,351738.0,center3
215,146287.0,350027.0,center3
216,149392.0,352082.0,center3
217,149133.0,345863.0,center3
218,154839.0,351170.0,center3
219,149213.0,344992.0,center3
220,146635.0,352128.0,center3
221,155071.0,349530.0,center3
222,153904.0,352452.0,center3
223,149274.0,348236.0,center3
224,145237.0,350558.0,center3
225,148594.0,353176.0,center3
226,149507.0,343722.0,center3
227,150873.0,344212.0,center3
228,149174.0,344152.0,center3
229,151402.0,352810.0,center3
230,151239.0,351399.0,center3
231,146045.0,347394.0,center3
232,147002.0,354417.0,center3
233,147656.0,350199.0,center3
234,148394.0,344847.0,center3
235,148986.0,346692.0,center3
236,150039.0,345645.0,center3
237,140421.0,352047.0,center3
238,148555.0,347964.0,center3
239,153929.0,346706.0,center3
240,146627.0,347847.0,center3
241,152953.0,347664.0,center3
242,151108.0,352795.0,center3
243,149908.0,351493.0,center3
244,150577.0,351009.0,center3
245,145051.0,350813.0,center3
246,149733.0,350108.0,center3
247,155072.0,347522.0,center3
248,150311.0,351735.0,center3
249,150131.0,347429.0,center3
250,147678.0,346395.0,center3
251,149903.0,346611.0,center3
252,150735.0,352809.0,center3
253,151348.0,353222.0,center3
254,148821.0,344348.0,center3
255,149252.0,349459.0,center3
256,156399.0,351433.0,center3
257,142858.0,347365.0,center3
258,157050.0,353099.0,center3
259,151067.0,350907.0,center3
260,153162.0,349835.0,center3
261,144737.0,347720.0,center3
262,148134.0,351944.0,center3
263,149121.0,352584.0,center3
264,151337.0,351610.0,center3
265,144718.0,348717.0,center3
266,151491.0,353047.0,center3
267,146165.0,346763.0,center3
268,150209.0,350475.0,center3
269,152063.0,354600.0,center3
270,151034.0,349507.0,center3
271,153424.0,347687.0,center3
272,153181.0,356433.0,center3
273,147942.0,349017.0,center3
274,150813.0,351471.0,center3
275,147014.0,347173.0,center3
276,145820.0,350487.0,center3
277,152925.0,351762.0,center3
278,150000.0,350014.0,center3
279,149826.0,351009.0,center3
280,152881.0,354078.0,center3
281,151880.0,345770.0,center3
282,151107.0,350758.0,center3
283,153954.0,344130.0,center3
284,152940.0,350383.0,center3
285,150758.0,356150.0,center3
286,147817.0,352743.0,center3
287,147940.0,349772.0,center3
288,153770.0,349313.0,center3
289,144903.0,351152.0,center3
290,149923.0,353318.0,center3
291,143837.0,349430.0,center3
292,153227.0,355403.0,center3
293,152725.0,347705.0,center3
294,150004.0,343715.0,center3
295,149776.0,347623.0,center3
296,142138.0,348587.0,center3
297,151838.0,349011.0,center3
298,143067.0,346641.0,center3
299,142666.0,353474.0,center3
300,150253.0,344940.0,center3
301,147001.0,348153.0,center3
302,151301.0,347080.0,center3
303,152141.0,348722.0,center3
304,152712.0,348175.0,center3
305,147814.0,351287.0,center3
306,151421.0,346866.0,center3
307,150318.0,347450.0,center3
308,152612.0,350579.0,center3
309,151695.0,353580.0,center3
310,152839.0,344449.0,center3
311,149583.0,355621.0,center3
312,149535.0,347190.0,center3
313,153187.0,352357.0,center3
314,143284.0,352631.0,center3
315,148404.0,354003.0,center3
316,145982.0,347970.0,center3
317,148790.0,349956.0,center3
318,152051.0,349694.0,center3
319,152611.0,348355.0,center3
320,146790.0,350534.0,center3
321,148510.0,350979.0,center3
322,150433.0,348935.0,center3
323,149077.0,350324.0,center3
324,150954.0,358508.0,center3
325,151265.0,350103.0,center3
326,147059.0,351941.0,center3
327,149441.0,348489.0,center3
328,143258.0,347665.0,center3
329,153622.0,349274.0,center3
330,148011.0,351577.0,center3
331,146193.0,347097.0,center3
332,149197.0,344090.0,center3
333,145482.0,349716.0,center3
334,149934.0,348620.0,center3
335,148227.0,350704.0,center3
336,156887.0,350955.0,center3
